Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
3,405,2982,502,1408,2
0,13,5260,1800,110,2
0,5,250,100,0,5
1,124,975,200,400,3
0,11,460,150,60,3
0,9,250,100,0,4
0,404,250,100,0,6
3,106,500,150,100,3
0,106,3050,350,950,3
1,11,250,100,0,3
4,106,600,225,0,2
0,11,250,100,0,5
0,7,460,150,60,3
1,411,250,100,0,3
3,411,1500,200,850,2
4,11,2350,1050,0,2
4,11,3425,1050,0,2
4,11,5575,1050,0,2
0,7,250,100,0,5
0,9,375,200,-75,2
0,12,250,100,0,3
0,10,250,100,0,5
0,409,975,200,400,3
1,12,450,150,50,3
4,12,1150,400,50,2
0,403,250,100,0,4
0,4,250,100,0,6
3,120,375,200,-75,2
2,120,500,325,-200,2
3,120,875,325,50,2
2,120,1250,700,-325,2
0,10,250,150,-50,2
3,411,475,100,125,4
2,12,825,325,-100,3
3,12,1275,325,125,2
1,412,2645,775,145,2
0,10,250,100,0,5
0,409,460,150,60,3
0,6,450,100,100,5
0,8,250,100,0,6
1,13,250,150,-50,2
2,13,650,300,-50,2
2,13,650,300,-50,2
2,112,650,300,-50,2
1,102,300,150,-50,3
2,102,750,250,-50,3
0,11,250,100,0,4
0,9,250,100,0,6
0,405,500,150,100,3
0,3,250,100,0,4
0,10,250,100,0,6
0,8,450,100,100,5
0,408,250,100,0,6
0,12,450,150,50,3
0,12,250,100,0,4
1,114,250,100,0,6
0,6,375,200,-75,2
0,6,250,100,0,3
1,112,250,100,0,5
2,112,600,200,0,2
2,112,600,200,0,2
2,112,600,200,0,2
0,104,300,150,-50,6
3,410,600,200,-75,3
2,13,725,325,-200,3
0,6,460,150,60,3
0,8,450,100,100,5
1,410,250,100,0,5
0,5,250,100,0,6
1,13,250,150,-50,2
4,13,700,325,-50,2
2,13,975,325,-50,2
0,13,1800,325,500,2
0,406,250,100,0,4
0,12,250,100,0,6
3,12,375,200,-75,2
2,12,500,325,-200,2
2,118,500,325,-200,2
2,224,500,325,-200,2
0,9,250,100,0,3
0,12,450,100,100,6
0,13,475,150,75,3
0,9,450,100,100,5
0,10,250,100,0,6
0,9,250,150,-50,2
0,12,460,100,110,5
1,13,250,100,0,6
3,13,2100,350,1150,2
3,108,4450,1500,0,2
3,108,7500,2700,-850,2
0,108,14800,4550,900,2
1,122,1175,150,550,4
3,122,12687,962,9038,2
0,5,460,100,110,5
0,9,250,100,0,6
3,13,250,150,-50,2
3,13,650,200,150,2
2,126,900,450,-100,2
2,244,900,450,-100,2
4,244,900,450,-100,2
0,403,250,100,0,4
0,5,250,100,0,6
1,13,250,100,0,3
3,13,1550,250,800,2
4,13,2350,1050,0,2
0,13,5805,1050,2405,2
0,12,250,100,0,5
0,8,1450,200,850,3
0,8,250,100,0,3
0,13,250,100,0,5
1,10,500,200,50,2
3,10,250,150,-50,2
4,112,300,200,-100,2
4,112,400,200,-100,2
0,7,250,100,0,3
1,13,250,100,0,5
4,122,600,225,0,2
4,122,1100,225,0,2
0,12,250,100,0,6
1,12,750,150,100,4
2,12,4186,1212,100,3
3,12,5436,1212,100,3
2,114,6686,2462,-1150,2
4,114,6686,2462,-1150,2
0,114,12168,2462,3020,2
1,10,250,100,0,3
1,410,250,100,0,4
0,9,450,100,100,6
0,13,375,200,-75,2
0,7,1175,100,600,5
0,9,250,100,0,5
0,5,400,200,-50,2
0,8,250,100,0,3
0,12,250,100,0,5
1,12,400,200,-50,2
4,122,2750,1300,-50,2
3,122,5713,1300,1663,2
2,232,7426,3013,-50,2
4,627,7426,3013,-50,2
3,11,500,200,0,3
2,13,750,350,-150,3
1,13,1200,350,100,3
0,13,5700,1100,2200,2
0,404,250,100,0,4
0,13,250,100,0,6
0,8,460,100,110,4
1,13,250,100,0,5
2,13,600,225,0,2
0,13,1250,225,425,2
0,11,375,200,-75,2
3,116,475,100,125,4
2,234,875,325,-100,3
2,234,875,325,-100,3
0,234,2037,325,256,3
1,106,250,100,0,4
3,106,1153,225,453,2
4,106,1606,678,0,2
1,13,250,100,0,4
3,13,1325,200,675,2
